frame,count
1,12
2,13
3,14
4,16
5,19
6,13
7,13
8,13
9,14
10,15
11,14
12,13
13,14
14,15
15,16
16,16
17,14
18,16
19,16
20,16
21,16
22,17
23,10
24,12
25,14
26,14
27,17
28,20
29,17
30,20
31,17
32,15
33,17
34,17
35,16
36,12
37,13
38,18
39,13
40,13
41,11
42,16
43,17
44,17
45,20
46,23
47,21
48,12
49,11
50,13
51,13
52,12
53,12
54,15
55,14
56,15
57,10
58,11
59,10
60,14
61,13
62,13
63,12
64,12
65,15
66,12
67,11
68,15
69,13
70,14
71,11
72,13
73,14
74,16
75,13
76,12
77,14
78,13
79,16
80,15
81,13
82,14
83,13
84,11
85,7
86,9
87,12
88,12
89,10
90,10
91,16
92,16
93,8
94,6
95,7
96,8
97,13
98,12
99,12
100,11
101,13
102,16
103,15
104,12
105,13
106,16
107,22
108,19
109,18
110,22
111,14
112,15
113,18
114,20
115,19
116,18
117,15
118,17
119,18
120,15
121,13
122,14
123,12
124,8
125,8
126,8
127,9
128,13
129,9
130,8
131,8
132,8
133,9
134,11
135,11
136,13
137,11
138,11
139,13
140,15
141,12
142,15
143,16
144,15
145,14
146,17
147,15
148,18
149,19
150,15
151,17
152,14
153,15
154,22
155,20
156,19
157,17
158,18
159,13
160,11
161,13
162,10
163,14
164,14
165,14
166,15
167,15
168,15
169,17
170,17
171,14
172,18
173,18
174,14
175,14
176,16
177,17
178,15
179,14
180,13
181,11
182,14
183,16
184,14
185,18
186,15
187,15
188,15
189,14
190,12
191,13
192,14
193,16
194,13
195,17
196,13
197,10
198,12
199,15
200,12
201,13
202,12
203,17
204,15
205,16
206,16
207,19
208,14
209,11
210,15
211,15
212,14
213,13
214,15
215,15
216,15
217,13
218,16
219,12
220,10
221,10
222,15
223,13
224,14
225,13
226,10
227,13
228,10
229,10
230,8
231,8
232,8
233,4
234,9
235,8
236,10
237,11
238,10
239,9
240,9
241,9
242,13
243,13
244,11
245,11
246,9
247,10
248,10
249,14
250,10
251,12
252,14
253,12
254,11
255,11
256,18
257,15
258,13
259,12
260,12
261,12
262,16
263,11
264,14
265,12
266,11
267,12
268,14
269,17
270,10
271,7
272,12
273,7
274,13
275,13
276,9
277,11
278,10
279,10
280,7
281,5
282,5
283,13
284,16
285,15
286,15
287,11
288,13
289,10
290,12
291,13
292,11
293,13
294,11
295,11
296,13
297,10
298,12
299,8
300,11
301,7
302,6
303,9
304,10
305,11
306,10
307,12
308,11
309,7
310,10
311,11
312,10
313,11
314,8
315,7
316,9
317,12
318,12
319,12
320,12
321,11
322,12
323,10
324,13
325,12
326,12
327,14
328,15
329,13
330,14
331,14
332,16
333,15
334,15
335,15
336,14
337,16
338,14
339,14
340,16
341,13
342,16
343,20
344,16
345,15
346,18
347,17
348,18
349,15
350,19
351,15
352,17
353,16
354,14
355,16
356,12
357,13
358,15
359,13
360,14
361,11
362,10
363,8
364,9
365,9
366,9
367,10
368,10
369,9
370,10
371,11
372,10
373,17
374,11
375,8
376,12
377,10
378,10
379,9
380,7
381,9
382,9
383,8
384,9
385,10
386,12
387,13
388,9
389,8
390,10
391,10
392,13
393,13
394,7
395,6
396,6
397,6
398,8
399,5
400,5
401,5
402,8
403,10
404,8
405,13
406,16
407,15
408,13
409,16
410,16
411,16
412,12
413,11
414,10
415,4
416,8
417,8
418,8
419,8
420,8
421,12
422,15
423,11
424,13
425,11
426,10
427,8
428,9
429,8
430,8
431,11
432,7
433,6
434,6
435,8
436,9
437,9
438,7
439,5
440,6
441,10
442,13
443,11
444,11
445,10
446,9
447,8
448,10
449,11
450,11
451,10
452,10
453,11
454,8
455,11
456,10
457,15
458,13
459,15
460,13
461,7
462,13
463,12
464,10
465,10
466,10
467,9
468,8
469,10
470,12
471,9
472,10
473,13
474,11
475,16
476,16
477,11
478,12
479,14
480,13
481,12
482,14
483,19
484,20
485,18
486,21
487,16
488,16
489,14
490,19
491,19
492,14
493,13
494,17
495,17
496,17
497,16
498,11
499,11
500,10
501,11
502,10
503,15
504,20
505,17
506,13
507,15
508,17
509,19
510,14
511,15
512,15
513,12
514,16
515,15
516,7
517,7
518,5
519,6
520,6
521,6
522,7
523,15
524,12
525,10
526,11
527,11
528,10
529,12
530,17
531,14
532,11
533,16
534,18
535,20
536,21
537,15
538,13
539,9
540,8
541,13
542,14
543,12
544,8
545,9
546,10
547,12
548,15
549,11
550,10
551,11
552,8
553,10
554,6
555,6
556,9
557,5
558,5
559,7
560,12
561,13
562,16
563,12
564,14
565,11
566,12
567,12
568,12
569,13
570,12
571,12
572,11
573,9
574,10
575,14
576,11
577,13
578,17
579,16
580,18
581,19
582,14
583,16
584,16
585,19
586,17
587,21
588,19
589,18
590,17
591,20
592,23
593,16
594,16
595,12
596,12
597,19
598,17
599,19
600,17
601,17
602,14
603,20
604,22
605,18
606,18
607,17
608,16
609,16
610,14
611,16
612,17
613,14
614,12
615,12
616,11
617,15
618,21
619,16
620,14
621,16
622,16
623,19
624,20
625,14
626,16
627,16
628,13
629,15
